מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד
141010-חטב מכללת אורט גבעת רם ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל דלאל,3,67,55,6.5
141168-תורני לבנות ב.שולמית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אמיתי יצחק שחור,1,36,17,12.6
141176-אולפנת צביה מ. אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה נריה ירושלים,3,74,48,6.8
141309-עירוני פסגת זאב,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,סוניה רפאלי,4,77,74,33.8
141390-מדרשיית עלמא אמונה,ירושלים,העיר ירושלים,יהודי,שרה טוויל,הדס גודמן,3,91,53,5.9
141499-אור תורה סטון לבנים,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,יהונתן יפת,3,48,31,4.2
141549-אור תורה סטון לבנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,חנה עסיס,4,131,99,6.7
141754-ישיבה תיכ' תורה ומדע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,רפאל עמיחי בובליל,1,33,33,5.2
143404-אהל שילה בנים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,רפאל ממן,2,61,26,16.0
144097-המרכז הישראלי למצוינות בחינוך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נועה שפי,2,56,56,9.6
144220-תורני נסויי הרטמן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,שאול דוד,3,67,54,5.0
144329-תיכון מכבים רעות,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רוני אהרון פולט,7,181,171,13.8
144428-ישיבת צביה מ.אדומים,מעלה אדומים,ירושלים,יהודי,יעקב עמר,יוסף מנחם פרנקל,3,66,53,6.0
144592-קדמה ירושלים,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,מיכל חדאד,1,18,16,2.4
144600-ישיבה שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,תומר זאבי,4,91,68,6.2
144626-תבל גבעה צרפתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,נחמה נשי נפתלי,2,32,23,5.4
"144675-ע""ש יצחק רבין עי""ס",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,רבקה ריקי נגרי,6,197,182,15.9
144683-עירוני א',מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,דביר שלומי,7,234,218,15.8
144691-ישיבת נעם,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,אבישי סגל,4,80,1,1.0
"144717-אולפנת בנ""ע אורות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,סגלית נחום,5,131,64,4.9
"144741-ע""ש רא""ל מרדכי גור",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שרית סנואני,6,184,165,9.9
"144758-ישיבת בנ""ע פסגת זאב",ירושלים,העיר ירושלים,יהודי,שרה טוויל,רענן-יוסף שרמן,2,44,20,4.8
"144766-ישיבת בנ""ע נר תמיד חשמונאים",מטה בנימין,ירושלים,יהודי,תמר אודס,איתמר ליברמן,4,102,62,11.7
148056-תיכון בית צפאפא,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,האשם בדר,8,189,113,8.9
148080-מקיף אבו גוש,אבו גוש,ירושלים,ערבי,ציפי יעקב,ווגיהה איברהים,4,78,70,8.7
148155-תיכון שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נאדר נירוך,6,192,189,10.1
148197-מקיף בית חנינה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מגדי עוויסאת,5,130,1,3.0
148247-מקיף שש שנתי אלטור לבנים,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מוחמד דעיס,6,146,40,2.5
148254-שועפט בנות ב',ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מיסון חלאק,4,114,23,2.9
148262-אלעלא,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,סלאם עיד,2,52,31,1.3
148288-כפר עקב,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אוסאמה טוטח,3,119,72,6.3
160242-מקיף קשת,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,אורית צילה סומר,3,67,51,6.9
160259-ליבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,ענבל ישראלי,3,57,32,3.2
160416-רעות קהילה דתית,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,עמיעד יעקב מלצר,5,108,89,23.0
160432-ברנקו וייס מקיף בית שמש,בית שמש,ירושלים,יהודי,ציפי יעקב,שמעון ויס,7,160,136,9.7
160473-אלוואדי למצוינות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עבדלרחמן אחסין,3,83,79,10.6
"160549-אמי""ת איתן",מעלה אדומים,ירושלים,יהודי,יעקב עמר,שלמה אליהו דהן,4,85,52,14.8
160598-ארץ הצבי,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יוסף איזמן,2,32,12,3.7
"165852-ישיבת בנ""ע לפיד מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,שמואל חיים רוזנבלום,7,197,164,4.6
168021-צור באהר בנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,הנאדי יעיש,2,40,39,2.9
168419-אולפנת צביה יצירתית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,צפורה כהן,3,71,36,4.2
170043-תיכון שחרית,ירושלים,העיר ירושלים,יהודי,אריה משה מארק,רני חזון וייס,3,50,49,9.9
"170092-קשת ראם ע""ש אליס סליגסברג",ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גלית חזיזה קמיניץ,4,82,16,1.1
170399-חטיב אורט מינקןף,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,תמר כספי,6,182,27,1.4
170514-אורט פלך בנים ספניאן,ירושלים,העיר ירושלים,יהודי,שרה טוויל,דורון לופז,4,90,33,2.5
170803-עמל תעופה וחלל,מעלה אדומים,ירושלים,יהודי,ציפי יעקב,יהודית אילוק,7,185,169,8.1
178178-סאחורה מכין בנות,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אמאל אשקיראת,7,185,144,4.6
179754-כפר עקב חדש,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,אמאני פלאח,3,85,84,7.4
186395-ראשית,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,שרה אבישי,2,51,15,4.0
186908-אולפנא בני עקיבא נריה,מטה בנימין,ירושלים,יהודי,תמר אודס,יניב כהן,6,111,85,4.3
"188086-דמוקרטי ע""ש נדב",מודיעין מכבים רעות,ירושלים,יהודי,טל כהן,מירב ניר הוד,1,34,20,3.3
"192997-חט""ב עיסוויה בנים",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,חדר עביד,5,153,89,7.4
193003-מקיף עיסוואיה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,פאטמה עבידאת,6,148,59,6.7
193185-אולפנת שעלי תורה,בית שמש,ירושלים,יהודי,תמר אודס,אלעד בן אליהו,4,87,56,5.9
"198085-חט""ב ראס אל-עמוד",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,סאלח סאלח,6,135,0,0.0
198192-תיכון צור באהר,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,היתאם סלאמה,6,131,45,3.6
237354-תיכון יחד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,שגיב אלבז,4,136,134,15.3
238121-אולפנת נוגה,מטה יהודה,ירושלים,יהודי,תמר אודס,מרים לאה קורן,5,131,98,10.7
239871-סמהר לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אמאל טחאן,3,106,44,10.9
246041-אהבת ישראל,ירושלים,העיר ירושלים,יהודי,שירה יזדי,סיון דוד,1,27,23,5.5
338418-עתיד דביר בנים,בית שמש,ירושלים,יהודי,תמר אודס,אברהם שושן,4,79,60,26.7
"338509-חט""ב לבונה",בית אריה,ירושלים,יהודי,ציפי יעקב,חן בן שמעון,4,76,70,7.3
"338616-שש שנתי אמי""ת בנות",מעלה אדומים,ירושלים,יהודי,יעקב עמר,רונית תשובה,4,76,22,1.8
344911-אורט עירוני ד,מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,צופית חדד,7,204,198,20.1
346494-תיכון יד ביד,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,דניאל עמוס דה שליט,2,52,44,11.3
347757-סאדברי ירושלים,ירושלים,העיר ירושלים,יהודי,אסנת עוזיאל,שחר יצחק גרוסמן,1,12,1,2.0
353458-יסודי שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מופיד אבו גוש,2,45,15,4.3
353599-אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,עמיחי רוזנפלד,2,51,34,21.6
362046-רנסנס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אסמת גחלב,2,49,43,5.8
417832-חן נריה,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,רוחמה ווגל,2,62,60,14.8
420018-על יסודי צור הדסה,צור הדסה,ירושלים,יהודי,ציפי יעקב,דביר קפלן,6,135,94,7.8
430074-מקור התקווה,ירושלים,העיר ירושלים,יהודי,שמחה שגית קליימן,יואל רוסו,1,9,0,0.0
"440784-ראס אלעמוד ע""ס לבנות",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אריג' ארנאוט,5,111,23,6.2
"442780-אמי""ת בנות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאת כהן וגשל,6,135,119,33.0
442822-ברנקו וייס עין נקובה,מטה יהודה,ירושלים,ערבי,ציפי יעקב,איהאב אלזיאדנה,4,85,69,6.5
442855-הרטמן בנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,מיכל הרטמן,3,89,57,5.0
"450270-אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאור שמעון צ'קוטאי,4,118,96,4.7
460667-אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ורדית כהנא,2,65,64,37.8
477901-מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ליאנא האשם,6,163,31,10.5
478909-בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,1,20,0,0.0
511550-אום טובה לבנות,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,מחמד אבו טיר,3,97,96,8.1
511618-נווה הראל,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,צפורה זקש,2,46,40,16.8
512343-יסודי אלמסתקבל שועפט,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נג'את עמורה,1,31,0,0.0
512459-הניסויי כפר אדומים,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,נועם שכטר,5,106,33,6.0
512509-קדם,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,אהרון פרידלנדר,2,42,18,1.6
"540500-ע""ש יצחק נבון מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,ציפי יעקב,ענבל לוי,6,183,157,14.7
611871-מבוא חורון בנות,מטה בנימין,ירושלים,יהודי,יוסף יעקב שינובר,אורה קראוז,2,40,32,11.4
615948-ישיבת מקור חיים,ירושלים,העיר ירושלים,יהודי,שרה טוויל,יהונתן גוטמן,3,100,1,5.0
"615955-אח""י תקוע 2",גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,יהונתן אהוביה רוזנק,6,113,65,3.9
"615971-חב""ד בנות",בית שמש,ירושלים,יהודי,מרים ויצמן,חנה אריה,2,32,27,32.2
616151-נווה השחר,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,טליה נחמה שקד,2,64,58,34.5
616508-אלסופרא,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,רובא חשים אבו דייה,3,86,82,10.3
616961-ארתיקאא לשפות,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,מלכה טרביה עזאם,2,36,28,2.4
617019-אשבאל אלקודס,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,מחמד הרבוק,2,49,43,10.5
634840-חיואר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מנאל דראושה,2,49,28,3.0
634857-אלפא,ירושלים,העיר ירושלים,ערבי,נור ח'טיב,אקרם אבראהים,2,47,27,1.6
641407-אלמתנבי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,עאסם חסונה,4,109,24,7.2
641415-רוואד אלקודס,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,נארימן אלתאג'י,4,113,106,4.7
641464-אבדאע לאומניות.,ירושלים,העיר ירושלים,ערבי,נגוהה פרחאת,מלחם בדר,3,68,10,1.6
"641480-אולפנת בנ""ע שילה",מטה בנימין,ירושלים,יהודי,יעקב עמר,הדר ברינדל אטון,4,112,78,6.3
"641498-ישיבה תיכונית בנ""ע עלי",מטה בנימין,ירושלים,יהודי,יעקב עמר,עובדיה בן משה,3,65,47,5.4
641522-על יסודי אדם,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,הילה מור,3,54,38,7.6
641563-תיכון דרך,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,יפעת נדב,3,61,54,12.1
641662-תבל תיכון רמות,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גילי סלומון,3,43,37,11.0
645424-ניסוי ארגנטינה,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גיל הלר,2,47,5,2.8
645986-בית הספר האמריקאי יר,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,אליזבט רייצ'ל אלבום,1,14,0,0.0
650028-אלקימה,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,יאסמין בלעום,2,39,0,0.0
650523-אולפנת בית אל,בית אל,ירושלים,יהודי,יעקב עמר,רעות רוחמה טסלר,3,82,70,5.5
668962-אלביאן מקיף,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ראשה ג'בר,2,51,30,7.4
"673822-התיכון הנכו""ן",מטה בנימין,ירושלים,יהודי,ציפי יעקב,רונית ברק,5,133,83,11.2
681288-תיכון לביא,מטה בנימין,ירושלים,יהודי,יעקב עמר,אברהם קימל,2,46,36,3.6
682351-מסע,ירושלים,העיר ירושלים,יהודי,שרה טוויל,-,2,57,51,5.2
715623-מקיף אלסלעה,ירושלים,העיר ירושלים,ערבי,רנה ח'לף,ולאא גול,3,88,16,4.0
722298-בית ספר יחיאל,מטה יהודה,ירושלים,יהודי,ליאת אלהרר כהן,יוסף סופר,1,19,0,0.0
743369-טרה סנטה בית חנינא,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,גורג אבו סעדה,1,16,16,11.9
747360-בית ספר יסודי אלסלאם,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,סלאח יונס,2,58,0,0.0
759134-סדנת שילוב יובלים,גוש עציון,ירושלים,יהודי,יעקב מאיר קושלבסקי,ימימה ספרא,1,6,0,0.0
"770727-אולפנת בנ""ע טל רמות",ירושלים,העיר ירושלים,יהודי,שרה טוויל,יסכה לב,2,59,57,8.0
771089-התיכון הניסויי,ירושלים,העיר ירושלים,יהודי,דוד נמרוד-סימרוט,גיל שלה,3,58,3,4.7
